number,old_definition,word,definition,example_sentences,part_of_speech,collocations
51,保持身心健康。[例]現代國民應具備衛生保健的基本常識。,保健,保持身心健康的行為和措施。,現在有很多保健食品幫助提高免疫力。,n,保健的知識
52,充足、豐富。[例]精神飽滿、肌肉飽滿,飽滿,充足而且豐富。,她的精神狀態非常飽滿，隨時準備迎接新的挑戰。,vs-adj,精神飽滿
53,充足、豐富。[例]精神飽滿、肌肉飽滿,保密,充足而且豐富。,她的精神狀態非常飽滿，隨時準備迎接新的挑戰。,vs-adj,精神飽滿
54,充足、豐富。[例]精神飽滿、肌肉飽滿,保全,充足而且豐富。,她的精神狀態非常飽滿，隨時準備迎接新的挑戰。,vs-adj,精神飽滿
54,充足、豐富。[例]精神飽滿、肌肉飽滿,保全,充足而且豐富。,她的精神狀態非常飽滿，隨時準備迎接新的挑戰。,vs-adj,精神飽滿
55,充足、豐富。[例]精神飽滿、肌肉飽滿,包容,充足而且豐富。,她的精神狀態非常飽滿，隨時準備迎接新的挑戰。,vs-adj,精神飽滿
56,充足、豐富。[例]精神飽滿、肌肉飽滿,寶石,充足而且豐富。,她的精神狀態非常飽滿，隨時準備迎接新的挑戰。,vs-adj,精神飽滿
57,寬恕接納。[例]愛就是擁有一顆包容的心。,飽受,寬恕接納他人的缺點和不同，心胸開闊。,愛就是擁有一顆包容的心。,vs-t/N,包容他人
58,寬恕接納。[例]愛就是擁有一顆包容的心。,保衛,寬恕接納他人的缺點和不同，心胸開闊。,愛就是擁有一顆包容的心。,vs-t/N,包容他人
59,寬恕接納。[例]愛就是擁有一顆包容的心。,暴行,寬恕接納他人的缺點和不同，心胸開闊。,愛就是擁有一顆包容的心。,vs-t/N,包容他人
60,機械的修理、維護。[例]車輛應定期保養，以維護行車安全。,保養,對機械進行的修理與維護，旨在確保其正常運作。,這台機器需要定期保養，才能延長使用壽命。,va-t/N,定期保養 / 進行保養 / 車輛的保養 / 機器的保養 / 定時保養 / 養護保養 / 預約保養 / 保養檢查 / 技術保養 / 專業保養
60,身心的調養、保健。[例]保養身體,保養,對身心進行調整和維護，使其健康保持良好狀態。,一定要好好保養身心，才能保持健康的生活。,va-t/N,保養身體 / 保養皮膚 / 進行保養 / 定期保養 / 保養產品 / 健康保養 / 自我保養 / 保養方法 / 好好保養 / 注意保養
61,身心的調養、保健。[例]保養身體,報應,對身心進行調整和維護，使其健康保持良好狀態。,一定要好好保養身心，才能保持健康的生活。,va-t/N,保養身體 / 保養皮膚 / 進行保養 / 定期保養 / 保養產品 / 健康保養 / 自我保養 / 保養方法 / 好好保養 / 注意保養
63,珍藏的貴重物品。[例]敦煌寶藏、故宮寶藏,暴雨,珍藏的貴重物品。,在這個博物館裡，我們可以看到許多珍貴的寶藏。 / 這幅畫是她家裡的寶藏，已經傳了好幾代。 / 在圖書館的古籍區，藏著許多歷史的寶藏。 / 這本書裡有許多文化的寶藏，讓人重溫過去的故事。 / 我們要學習如何保護這些自然的寶藏，為未來留下一片美好的土地。 / 在這片森林裡，隱藏著許多尚未被發現的生態寶藏。 / 這個音樂會讓我重新思考生命的價值，這就是心靈的寶藏。 / 他的家族有一個古老的傳說，據說裡面藏著無數的寶藏。 / 這個小鎮的街道上，隱藏著許多美食寶藏，讓人流連忘返。 / 在傳統手工藝品展覽中，我們可以發現許多屬於人類生活的寶藏。 / 這位藝術家的創作，彷彿帶我們探索心靈深處的寶藏，激發無限靈感。,n,珍貴的寶藏 / 世界的寶藏 / ni hao / 失落的寶藏 / 收藏寶藏 / 文化的寶藏 / 寶藏文物 / 尋找寶藏 / 發掘寶藏 / 保存寶藏
64,珍藏的貴重物品。[例]敦煌寶藏、故宮寶藏,寶藏,珍藏的貴重物品。,在這個博物館裡，我們可以看到許多珍貴的寶藏。 / 這幅畫是她家裡的寶藏，已經傳了好幾代。 / 在圖書館的古籍區，藏著許多歷史的寶藏。 / 這本書裡有許多文化的寶藏，讓人重溫過去的故事。 / 我們要學習如何保護這些自然的寶藏，為未來留下一片美好的土地。 / 在這片森林裡，隱藏著許多尚未被發現的生態寶藏。 / 這個音樂會讓我重新思考生命的價值，這就是心靈的寶藏。 / 他的家族有一個古老的傳說，據說裡面藏著無數的寶藏。 / 這個小鎮的街道上，隱藏著許多美食寶藏，讓人流連忘返。 / 在傳統手工藝品展覽中，我們可以發現許多屬於人類生活的寶藏。 / 這位藝術家的創作，彷彿帶我們探索心靈深處的寶藏，激發無限靈感。,n,珍貴的寶藏 / 世界的寶藏 / ni hao / 失落的寶藏 / 收藏寶藏 / 文化的寶藏 / 寶藏文物 / 尋找寶藏 / 發掘寶藏 / 保存寶藏
64,珍藏的貴重物品。[例]敦煌寶藏、故宮寶藏,寶藏,珍藏的貴重物品。,在這個博物館裡，我們可以看到許多珍貴的寶藏。 / 這幅畫是她家裡的寶藏，已經傳了好幾代。 / 在圖書館的古籍區，藏著許多歷史的寶藏。 / 這本書裡有許多文化的寶藏，讓人重溫過去的故事。 / 我們要學習如何保護這些自然的寶藏，為未來留下一片美好的土地。 / 在這片森林裡，隱藏著許多尚未被發現的生態寶藏。 / 這個音樂會讓我重新思考生命的價值，這就是心靈的寶藏。 / 他的家族有一個古老的傳說，據說裡面藏著無數的寶藏。 / 這個小鎮的街道上，隱藏著許多美食寶藏，讓人流連忘返。 / 在傳統手工藝品展覽中，我們可以發現許多屬於人類生活的寶藏。 / 這位藝術家的創作，彷彿帶我們探索心靈深處的寶藏，激發無限靈感。,n,珍貴的寶藏 / 世界的寶藏 / ni hao / 失落的寶藏 / 收藏寶藏 / 文化的寶藏 / 寶藏文物 / 尋找寶藏 / 發掘寶藏 / 保存寶藏
65,惡劣低下。多用於形容人的品格。[例]利用他人的同情心來騙取錢財的人，不僅卑鄙，而且無恥。,暴躁,品格惡劣低下，通常用來形容人。,在商業競爭中，他採取卑鄙的手段，試圖扳倒競爭對手。 / 利用別人的善良來獲取利益的行為，實在是卑鄙無恥。 / 他以卑鄙的手段勾引學妹，被發現後只好退出文學社。 / 這部電影的主角因為卑鄙的行為而無法贏得觀眾的同情。 / 她背地裡散佈謠言，意圖破壞他人的名譽，這讓人感到卑鄙。,vs-adj,卑鄙的行為 / 卑鄙ni hao的心態 / 提防卑鄙 / 對抗卑鄙 / 譴責卑鄙 / 卑鄙的競爭
66,惡劣低下。多用於形容人的品格。[例]利用他人的同情心來騙取錢財的人，不僅卑鄙，而且無恥。,寶座,品格惡劣低下，通常用來形容人。,在商業競爭中，他採取卑鄙的手段，試圖扳倒競爭對手。 / 利用別人的善良來獲取利益的行為，實在是卑鄙無恥。 / 他以卑鄙的手段勾引學妹，被發現後只好退出文學社。 / 這部電影的主角因為卑鄙的行為而無法贏得觀眾的同情。 / 她背地裡散佈謠言，意圖破壞他人的名譽，這讓人感到卑鄙。,vs-adj,卑鄙的行為 / 卑鄙ni hao的心態 / 提防卑鄙 / 對抗卑鄙 / 譴責卑鄙 / 卑鄙的競爭
67,惡劣低下。多用於形容人的品格。[例]利用他人的同情心來騙取錢財的人，不僅卑鄙，而且無恥。,卑鄙,品格惡劣低下，通常用來形容人。,在商業競爭中，他採取卑鄙的手段，試圖扳倒競爭對手。 / 利用別人的善良來獲取利益的行為，實在是卑鄙無恥。 / 他以卑鄙的手段勾引學妹，被發現後只好退出文學社。 / 這部電影的主角因為卑鄙的行為而無法贏得觀眾的同情。 / 她背地裡散佈謠言，意圖破壞他人的名譽，這讓人感到卑鄙。,vs-adj,卑鄙的行為 / 卑鄙ni hao的心態 / 提防卑鄙 / 對抗卑鄙 / 譴責卑鄙 / 卑鄙的競爭
67,卑微低賤。多用於形容人的地位。[例]今天我位處卑鄙，說話哪有分量？,卑鄙,形容人地位低下、微不足道。,雖然他的家庭背景卑鄙，但他依然努力實現自己的夢想。 / 這種卑鄙的謠言只會讓人感到無奈和憤怒。 / 他雖然出身卑鄙，卻一直努力改善自己的環境。 / 在那個卑鄙的社會中，追求理想的人總是受到壓迫。 / 即使她在職場上處於卑鄙的地位，仍然堅持自己的原則。 / 即使在最卑鄙的條件下，他也不會放棄追求真理。 / 她出身卑鄙，卻展現出無比的勇氣和智慧。 / 他即使在卑鄙的環境中長大，依然保持著對美好的信念。 / 這種卑鄙的手段只會讓人更加堅信公正的價值。 / 雖然他的事業曾經卑鄙，但他不斷尋求自我提升的機會。 / 她在卑鄙的現實中仍然選擇了善良，讓人感到敬佩。,vs-adj,卑鄙的人 / 卑鄙的行為 / 卑鄙的手段 / 卑[鄙的目的 / 卑鄙的心態 / 卑鄙的動機 / 感到卑鄙 / 卑鄙的做法 / 不屑卑鄙 / 被視為卑鄙
68,負荷、擔負。[例]我們都背負著傳承固有文化的重責大任。,背負,承擔某種責任或負擔。,在這個快速發展的社會中，每個人都背負著不同的壓力 / 他從小就背負著父母對他的期望，必須努力實現自己的夢想 / 這部電影探討了主角如何背負過去的傷痛，勇敢面對未來 / 她在公司裡背負著管理團隊的責任，常常感到壓力沉重 / 在這個競爭激烈的環境中，他背負著自我超越的挑戰，不斷努力 / 父母總是背負著讓孩子快樂成長的重任，渴望看到他們的進步 / 身為一位老師，他背負著教育學生的使命，希望培養出更多有用的人才 / 在這次經濟危機中，許多家庭背負著沉重的債務，生活變得更加艱難 / 她背負著家族的榮譽，努力在各個領域取得優秀的成績 / 隨著科技的進步，企業背負著更新技術、提升競爭力的壓力 / 這位作家背負著描繪時代變遷的責任，深入探討社會問題，令人反思。,va-t,背負重任 / 背負責任 / 背負負擔 / 背負希望 / 背負挑戰 / 背負使命 / 背負夢想 / 背負社會責任 / 背負歷史 / 背負責任感
68,負荷、擔負。[例]我們都背負著傳承固有文化的重責大任。,背負,承擔某種責任或負擔。,在這個快速發展的社會中，每個人都背負著不同的壓力 / 他從小就背負著父母對他的期望，必須努力實現自己的夢想 / 這部電影探討了主角如何背負過去的傷痛，勇敢面對未來 / 她在公司裡背負著管理團隊的責任，常常感到壓力沉重 / 在這個競爭激烈的環境中，他背負著自我超越的挑戰，不斷努力 / 父母總是背負著讓孩子快樂成長的重任，渴望看到他們的進步 / 身為一位老師，他背負著教育學生的使命，希望培養出更多有用的人才 / 在這次經濟危機中，許多家庭背負著沉重的債務，生活變得更加艱難 / 她背負著家族的榮譽，努力在各個領域取得優秀的成績 / 隨著科技的進步，企業背負著更新技術、提升競爭力的壓力 / 這位作家背負著描繪時代變遷的責任，深入探討社會問題，令人反思。,va-t,背負重任 / 背負責任 / 背負負擔 / 背負希望 / 背負挑戰 / 背負使命 / 背負夢想 / 背負社會責任 / 背負歷史 / 背負責任感
69,遭人向法院控告而成為訴訟當事人。相對於原告而言。[例]法官判決被告有罪，須服刑三年。,被告,遭到他人向法院控告而成為訴訟當事人，與原告相對。,法官判決被告有罪，須服刑三年。 / 上訴庭對於被告的案件進行重新審理。 / 辯護律師認為被告在審判過程中應獲得充分的辯護權。 / 檢察官提交新證據，顯示被告可能涉及其他犯罪行為。 / 在法庭上，原告對被告的行為表示強烈譴責。 / 被告堅持自己是無辜的，並提出了新的證據支持自己的立場。 / 在法庭上，被告的親友也出席旁聽，希望能給予支持。 / 法官要求被告提供更多證據以支持其無罪的論點。 / 被告表示願意與原告和解，以避免進一步的法律糾紛。 / 為了確保公正審判，法庭要求檢察官更加詳細地闡述對被告的指控。 / 被告的家人對這起案件感到焦慮，不斷關注審判的進展情況。,n,被告人權利 / 宣佈被告有罪 / 指控被告 / 判決被告 / 無辜的被告 / 主要被告 / 被告的律師 / 辯護被告 / 向被告 / 針對被告
70,貝類的硬殼。可分真珠層、外殼層及棱柱層三層。一般可供玩賞或製成裝飾品。[例]到海邊撿貝殼是我們最喜歡的課餘活動。,貝殼,貝類的硬殼。分為真珠層、外殼層和棱柱層三層。一般可用來玩賞或製成裝飾品。,我在海邊撿到了一個漂亮的貝殼。 / 孩子們在海灘上興奮地收集美麗的貝殼。 / 沙灘上有許多不同形狀的貝殼，讓人忍不住想帶回家。 / 那位藝術家用貝殼創作出了一幅獨特的畫。 / 我喜歡聽海浪拍打貝殼的聲音，讓人感到放鬆。 / 他在沙灘上找到了幾個色彩斑斕的貝殼，準備回家做成裝飾品。 / 貝殼的表面在陽光下閃閃發光，像是一件珍貴的寶物。 / 在海邊散步時，我發現了一個獨特的貝殼，彷彿它在講述自己的故事。 / 她帶著孩子們去撿貝殼，教他們了解海洋生態的美妙。 / 貝殼在沙灘上形成了一條美麗的路，指引著我們走向大海。 / 每次旅行回來，我都會帶幾個貝殼作為紀念，記錄那段美好的時光。,n,一個貝殼 / 貝殼的顏色 / 美麗的貝殼 / 收集貝殼 / 撿貝殼 / 海邊的貝殼 / 貝殼的形狀 / 精美的貝殼 / 貝殼裝飾品 / 貝殼與沙灘
71,,備受,「備受」指的是某人或某事得到特別的重視或經歷某種狀況，通常含有強烈的情感或關注。,在這個重要的比賽中，他的表現備受關注，讓大家對他的期待更高。 / 這部電影獲得多項大獎，導演的才華備受推崇。 / 新出台的政策雖備受批評，但政府表示還會持續推動改革。 / 在疫情期間，醫護人員的奉獻精神備受社會讚美。 / 這位年輕企業家的創新理念在業界備受青睞，許多投資者對他表現出濃厚的興趣。 / 這位作家的新書一上架就備受期待，讀者都急切想知道她這次寫了什麼樣的故事。 / 這位藝術家的作品備受讚美，他的展覽吸引了大批藝術愛好者前來觀賞。 / 這部紀錄片揭露了社會問題，立即備受討論，許多人開始關心這項議題。 / 在今年的音樂頒獎典禮上，她的演唱表現備受好評，讓她的歌迷倍感欣喜。 / 這家科技公司的新產品備受期待，其創新功能讓市場充滿期待。 / 這位演員在影視界的突破性表現備受關注，得到業界的一致好評。,vs-t,備受關注 / 備受重視 / 備受尊敬 / 備受青睞 / 備受推崇 / 備受歡迎 / 備受批評 / 備受期待 / 備受懷疑 / 備受讚美
