number,old_definition,word,translation,definition,example_sentences,part_of_speech,collocations,problematic_words
4619,特殊的、獨有的門道。[例]這種獨門配方熬的藥，專治各種皮膚病。,獨門,"Unique and exclusive; referring to something that is special or proprietary, often indicating a unique method or approach.",特殊的、獨有的門道。,這家餐廳的獨門醬料，讓每道菜都與眾不同。 / 他在武術上有獨門的練習方法，使他的功夫更加出眾。 / 這位老闆的獨門秘方，讓這家糕點店成為當地的熱門話題。 / 她的獨門設計總是充滿創意，吸引了許多時尚愛好者的目光。 / 這本書介紹了許多獨門的學習技巧，幫助學生更有效率地讀書。 / 他傳授給學生的獨門技巧，讓他們在比賽中脫穎而出。 / 這位廚師的獨門料理方法，讓顧客一次又一次地回來光顧。 / 他的獨門見解，經常引發同行的熱烈討論。 / 這個課程提供獨門的實習機會，讓學員能夠實際應用所學知識。 / 她的獨門育兒經驗，讓許多新手父母感到受益匪淺。 / 這個品牌的獨門配方，使其產品在市場上獨樹一格，深受消費者喜愛。,n,獨門秘訣 / 獨門配方 / 獨門產品 / 獨門技藝 / 獨門措施 / 獨門課程 / 獨門方法 / 獨門經驗 / 獨門設計 / 獨門見解,"獨樹一格, 深受, 獨, 育兒, 受益匪淺, 料, 糕點"
4620,自言自語。[例]他一路上口中唸唸有詞的，不知在嘟囔些什麼？,嘟囔,To mumble or mutter to oneself.,自言自語，通常聲音較小，常帶有不滿或思考的情緒。,她一邊走路一邊嘟囔著，不知道在抱怨什麼。 / 他在房間裡嘟囔著，似乎對這件事情感到非常不滿。 / 這個學生常常嘟囔著，讓老師無法專注於講課。 / 即使他嘟囔的不清楚，大家也都能感受到他的失望情緒。 / 在等待的過程中，她開始嘟囔著自己的計劃，似乎想讓自己冷靜下來。 / 他嘟囔的聲音讓周圍的人感到困惑，不知道他在想什麼。 / 她坐在咖啡廳裡，不斷嘟囔著自己的煩惱，彷彿在與自己對話。 / 在回家的路上，他悄悄嘟囔著，試圖釐清自己的思緒。 / 朋友們聚會時，總有一兩個人嘟囔著，分享他們的奇妙經歷。 / 當他看到不公平的事情時，忍不住小聲嘟囔著，表達自己的憤怒。 / 她的嘟囔聲中似乎帶著些許懷念，讓人想起過去的美好時光。,va-i,嘟囔著話 / 嘟囔不清 / 嘟囔自語 / 嘟囔聲音 / 嘟囔不止 / 嘟囔的聲音 / 嘟囔的話語 / 嘟囔著想法 / 嘟囔的情緒 / 嘟囔不停,"帶有, 忍不住, 自語"
4621,自言自語。如：「她邊走邊嘟噥的抱怨著。」也作「嘟囔」。,嘟噥,"To murmur or mutter to oneself, often in a complaining manner.",自言自語，聲音小而含糊。,她聽到別人說的話後，心裡不滿意地嘟噥了幾句。 / 小孩對著玩具壞掉的聲音不停嘟噥，似乎在要求大人修理。 / 在公交車上，他嘟噥著抱怨為什麼總是這麼晚到家。 / 每次遇到麻煩，她都會一邊工作一邊嘟噥，似乎在尋找解決辦法。 / 朋友之間聚會時，他嘟噥著舊時的回憶，讓大家都忍不住笑了。 / 嘟噥著說出來的話，有時候更像是一種釋放壓力的方式。 / 在長途旅行中，她嘟噥著為什麼車上總是這麼擁擠，讓旅途變得煩躁。 / 夜深人靜時，他常常對著自己的夢想嘟噥，希望能早日實現。 / 隔壁的老奶奶每天都會嘟噥著往日的故事，讓人感受到濃厚的懷舊情。 / 每當遇到不公平的事情，他就會忍不住嘟噥，表達自己的不滿和失望。 / 看著電視新聞，她嘟噥著評論著時事，顯得十分關心社會的變化。,vs-i,嘟噥的聲音 / 嘟噥著說 / 边走边嘟噥 / 忍不住嘟噥 / 嘟噥著抱怨 / 嘟噥不休 / 小聲嘟噥 / 不斷嘟噥 / 嘟噥著自言自語 / 嘟噥的習慣,"边, 的話, 忍不住, 公交"
4622,因不滿或被指責而任性使氣。[例]與父母親賭氣而離家出走，是不對的行為。,賭氣,To act stubbornly or petulantly out of anger or resentment.,因為不滿或被指責而任性使氣。,他因為覺得爸媽不相信他，今天特別賭氣，連晚餐都不想吃。 / 在學校看到同學們嘲笑自己，讓她非常賭氣，決定一個人默默離開。 / 兄弟倆因為小事吵架，弟弟賭氣不理哥哥，結果兩人都感到很不舒服。 / 她賭氣說下次再也不來參加家庭聚會，讓大家都感到很擔心。 / 每當他遇到挫折，就會賭氣不願意尋求別人的幫助，這樣只會讓情況更糟。 / 因為覺得朋友不理解自己，她一時賭氣決定不再和他們聯絡。 / 老闆對他的工作表現不滿，他賭氣辭職，卻後來感到十分後悔。 / 她因為考試成績不好而賭氣，拒絕和任何人談論學校的事情。 / 他們因為一起玩遊戲時出現爭執，導致他們一時賭氣，各自回家了。 / 當聽到同事們在背後議論自己時，他感到非常賭氣，決定不再參加團隊活動。 / 夫妻倆因為琐事發生爭執，妻子賭氣搬回娘家，讓丈夫感到十分擔心。,va-i,兒童賭氣 / 感到賭氣 / 和朋友賭氣 / 因為賭氣 / 賭氣的行為 / 夫妻賭氣 / 賭氣的原因 / 停止賭氣 / 忍不住賭氣 / 一時賭氣,"兄弟倆, 夫妻倆, 搬回, 忍不住, 琐, 理, 氣"
4623,單獨一人。[例]他因為工作的關係，獨身在外，與家人相處的時間很少。,獨身,Solo; being alone or unattached.,單獨一個人，沒有伴侶或家人。,許多獨身的朋友說，獨身的生活讓他們有更多的時間追求自己的興趣。 / 雖然獨身有時會感到孤獨，但也是一個自我成長的好機會。 / 我在獨身期間學會了怎樣照顧自己，這讓我變得更加獨立。 / 獨身旅行時，我遇到了很多有趣的人，讓這段經歷變得非常難忘。 / 他選擇獨身的原因，是希望能專注於自己的事業而不受感情干擾。 / 他喜歡獨身的日子，因為可以隨心所欲地安排自己的時間。 / 獨身的時候，我發現自己能更好地享受安靜的時光，這讓我感到心靈的平靜。 / 雖然獨身生活有時讓我懷念過去的陪伴，但我也學會了珍惜現在的自由。 / 獨身的經歷讓我明白，真正的快樂來自於內心，而不是依賴他人。 / 他常常參加獨身人士的聚會，和大家分享各自的生活故事和心情。 / 獨身的選擇讓我有機會重新思考自己的生活目標，這是一段寶貴的反思期。,n,獨身生活 / 獨身狀態 / 獨身人士 / 獨身旅行 / 獨身的選擇 / 獨身的日子 / 獨身的感受 / 獨身的經歷 / 獨身的孤獨 / 獨身的快樂,"怎樣, 期"
4624,沉迷於賭博的人。如：「你這個賭徒，每天只知道賭，也不管家人的死活。」也稱為「賭鬼」。,賭徒,A gambler; a person who is addicted to gambling.,沉迷於賭博的人，常常忽視家庭和責任。,賭徒為了贏回輸掉的錢，經常會不斷加碼，直到身無分文。 / 他的父母非常擔心，因為他最近開始與賭徒交朋友，影響了他的生活。 / 賭徒的心中充滿了對金錢的渴望，但卻無法擺脫賭博的束縛。 / 他曾經是一位成功的商人，但因為沉迷賭博，變成了人人避之唯恐不及的賭徒。 / 賭徒常常忽視家庭的關係，導致親友對他們失去信心。 / 每當賭徒贏了一筆錢，他們心中都希望能夠繼續這種運氣，卻常常落入更深的泥潭。 / 賭徒經常在夜深人靜時反思自己的選擇，但總是無法抵抗再次賭博的誘惑。 / 他的朋友們嘗試勸他遠離賭徒的生活，但他總是以「我只玩玩」來搪塞。 / 賭徒的債務越來越重，使得他在生活中承受了巨大的壓力和焦慮。 / 他雖然知道賭博會帶來許多麻煩，但心中的賭徒心理讓他難以自拔。 / 每次看到賭桌上的光鮮亮麗，賭徒都忍不住想要再試一次，卻不知道已經陷入了深淵。,n,賭徒的生活 / 賭徒的心態 / 賭徒的行為 / 賭徒的債務 / 成為賭徒 / 賭徒的心理 / 不幸的賭徒 / 賭徒的掙扎 / 賭徒的牢籠 / 賭徒與家人,"交朋友, 分文, 自拔, 忍不住, 落入, 贏回, 避, 泥, 牢籠, 遠離"
4625,獨自享用。[例]好東西要與朋友分享，怎麼可以一人獨享？,獨享,To solely enjoy or benefit from something without sharing.,獨自享用某樣東西，不與他人分享。,在寧靜的山中小屋，他可以獨享閱讀的樂趣。 / 朋友們都願意分享美好的時光，但有時我也渴望獨享靜謐的瞬間。 / 這個沙灘壯麗又人煙稀少，他一個人獨享著海浪拍打的聲音。 / 在派對結束後，她獨享著留在空氣中的那份快樂回憶。 / 她的生日派對上，每個人都祝她快樂，但她更享受獨享那份特別的祝福時刻。 / 假日的早晨，他喜歡在咖啡館獨享一杯香濃的咖啡，讓心靈得到片刻的安靜。 / 在繁忙的生活中，獨享一段午後的悠閒時光對她來說是難得的奢侈。 / 當孩子們入睡後，父母終於可以獨享那段難得的二人世界。 / 旅行時，她特別喜歡在觀景台上獨享這壯觀的日落景色，感受內心的平靜。 / 這部電影的情節深刻，讓他在觀影時獨享思考與感動的體驗。 / 他在家裡獨享著自己烹飪的美食，感受著獨享美食帶來的滿足感。,vp-t,獨享時光 / 獨享美食 / 獨享快樂 / 獨享幸福 / 獨享自由 / 獨享空間 / 獨享風景 / 獨享樂趣 / 獨享假期 / 獨享享受,"午後, 感, 景, 壯麗"
4626,深信、堅信。[例]他對這個消息的真實性，篤信不移。,篤信,To believe firmly and deeply; to have unwavering faith.,深信不疑，對某種信念或想法非常確定。,我們每個人都應該篤信自己能達成的目標。 / 他堅持每天都要鍛鍊，因為他篤信健康的重要性。 / 在朋友的鼓勵下，她篤信自己能克服困難，迎接挑戰。 / 作者在文章中表達了對真相的篤信，呼籲大家關注事實。 / 他篤信教育能改變未來，因此全心投入教學工作。 / 他堅信艱苦的努力會帶來成果，因此每天都全心投入工作，篤信未來定會有所回報。 / 即使遇到困難，他也篤信堅持不懈的努力最終會取得成功。  / 無論外界環境如何變化，她始終篤信自己的價值觀，不輕易動搖。  / 他的家族世代篤信勤勞致富，這種精神激勵著他奮發向上。  / 在信仰的指引下，她篤信生活中充滿了希望和美好。  / 他篤信科學研究的重要性，為了探索未知的領域，持之以恆地投入實驗。,va-i,篤信不移 / 篤信理念 / 篤信真相 / 篤信宗教 / 篤信信念 / 篤信理想 / 篤信價值 / 篤信真理 / 篤信原則 / 篤信未來,"懈, 移"
4627,獨自一人行走，比喻堅持己見行事。[例]深夜應避免獨行，以免發生意外。,獨行,"To walk alone, suggesting a sense of independence or determination.",獨自一人行走，通常比喻堅持己見行事。,獨自一人走路，有時候讓我感到寂寞，但也能享受靜謐的時光。 / 在都市的喧囂中，獨行的旅人常常能夠找到屬於自己的小天地。 / 深夜獨行的時候，我總是保持警覺，以確保自己的安全。 / 獨行的路上，我遇見了許多年輕的背包客，他們的故事總是那麼精彩。 / 獨行的時候，我能自由地決定自己的行程，不必顧慮他人的想法。 / 獨行 explorer 的選擇常常讓我質疑傳統的生活方式，思考真正的自我。  / 獨行於繁忙的街道上，我感受到一種特別的自由，無需受制於他人的步伐。  / 有時候獨行的旅程，讓我發現了隱藏在角落裡的美麗風景，這是與人同行所無法體會的。  / 獨行的心境，使我更加珍惜每一個與大自然親密接觸的瞬間。  / 每當我選擇獨行，心中就會升起一種堅定的信念，告訴自己勇敢面對一切挑戰。  / 獨行的探索讓我學會享受孤獨，也明白了內心的平和才是真正的幸福。,va-i,獨行的旅人 / 獨行者的選擇 / 深夜獨行 / 獨行無畏 / 獨行的勇氣 / 獨行的生活 / 獨行的路 / 獨行的信念 / 獨行其道 / 獨行於世,"升起, 己, 世, explorer"
4628,獨自占有。[例]這是大家公用的東西，你怎麼可以一人獨占？,獨佔/獨占,To monopolize or claim ownership exclusively.,獨自占有某物或某種權利，不讓他人共享。,這家公司在當地的市場上獨佔一方，因此能夠隨意調整價格。 / 他們在這個專利上獨占了十年的使用權，讓競爭對手無法進入這個領域。 / 這個地區的水源被一家企業獨佔，使得居民面臨缺水的困境。 / 某些媒體獨佔了報導的話語權，導致民眾難以獲得全面的資訊。 / 在藝術界，一些知名畫家常常獨佔了展覽的機會，讓新興藝術家難以崭露頭角。 / 這家科技公司獨佔了市場份額，讓其他小型企業難以生存。 / 這個特許經營權被一家公司獨占，使得其他競爭者無法分享這個利潤豐厚的市場。 / 在音樂產業中，某些唱片公司獨佔了熱門歌手的合約，限制了其他公司的發展空間。 / 這個知名品牌獨佔了高端產品的市場，讓消費者的選擇變得相對有限。 / 由於法律的保護，這位作家的作品在相當長的時間內被獨佔著版權，影響了整個文學市場的發展。 / 政府的某些政策使得特定行業能夠獨佔資源，造成了市場的不平衡。,va-t,獨佔市場 / 獨佔資源 / 獨佔利益 / 獨佔權益 / 獨佔地位 / 獨佔市場份額 / 獨佔話語權 / 獨佔風頭 / 獨佔商機 / 獨佔特權,"額, 崭, 營權, 權, 型, 版權"
4629,指毫無事實根據而憑空捏造、虛構。[例]小說中的人物大多是作者杜撰出來的。,杜撰,To fabricate or invent something without any basis in fact; to conjure up or make up.,指毫無事實根據而憑空捏造、虛構。,這部電影的情節大部分都是編劇杜撰出來的，並不反映真實事件。／雖然這個故事聽起來很吸引人，但實際上，他只是杜撰的虛構情節。／新聞報導中出現了很多杜撰的細節，讓人質疑這則消息的真實性。／朋友在聊天時杜撰了一些有趣的故事，逗得大家哈哈大笑。／那個傳聞聽起來十分離奇，幾乎可以確定是某人杜撰的。／小說中的角色大多是作者杜撰出來的，反映了他對人性的深刻思考。 / 網路上常常有一些杜撰的消息，提醒我們要謹慎對待不明來源的信息。  / 在學校的作文比賽中，許多學生選擇杜撰的故事來展現他們的想像力。  / 他聲稱自己有一位杜撰的名人好友，讓人不得不懷疑他的誠實。  / 電視劇的劇情雖然引人入勝，但許多情節都是演員杜撰的，以增加戲劇效果。  / 對於那些杜撰的歷史故事，我們應該保持批判的態度，以免被誤導。,va-t,杜撰的故事 / 杜撰的情節 / 杜撰的角色 / 杜撰的內容 / 杜撰的結果 / 杜撰的報導 / 杜撰的事件 / 杜撰的背景 / 杜撰的情感 / 杜撰的小說,"／, 笑／那, 撰, 友, 杜, 性／朋友, 毫無, 情節／新聞"
4630,事情的頭緒、眉目。[例]這件案子已經微露端倪，離破案之日應該不遠了。,端倪,A clue or indication of the situation.,事情的頭緒或眉目，通常指事情的初步線索或徵兆。,這個問題經過討論後，終於露出了一絲端倪，讓我們能進一步解決。 / 在調查過程中，警方發現幾個可疑的人物，讓案件的真相漸漸顯露端倪。 / 她在市場上偶然聽到一些交易的對話，讓她對這筆生意的背後端倪產生了興趣。 / 他在檢查公司的財務報表時，發現了不尋常的數字，這可能隱藏著詐騙的端倪。 / 透過仔細觀察，科學家終於發現實驗中出現的異常現象，似乎隱含著新的研究端倪。 / 隨著警方逐步深入調查，案情開始清楚的端倪浮現，讓案件迎來轉機。 / 這部電影的情節設置引起了觀眾的好奇，漸漸揭示出角色之間的複雜端倪。 / 在舊書店裡，他發現了一本特殊的日記，裡面似乎藏著歷史故事的端倪。 / 當地居民的口耳相傳，讓這個神秘地方的真實面貌逐漸顯露出端倪。 / 這次會議中，幾位專家的專業意見讓我們對問題的本質有了初步的端倪。 / 透過分析近期的數據趨勢，經濟學家已經察覺到未來市場變化的端倪。,n,微露端倪 / 初現端倪 / 清楚的端倪 / 發現端倪 / 隱約的端倪 / 一絲端倪 / 察覺端倪 / 端倪漸現 / 令人懷疑的端倪 / 知曉端倪,"迎, 微, 警, 濟, 近期, 現"
4631,氣絕身死。[例]他在臨死斷氣之前，仍掛念著年幼的兒女。,斷氣,To be on the verge of death; to lose consciousness momentarily before death.,氣絕身死，指的是人即將死亡或已經死亡的狀態。,在醫院裡，他見到終於重病斷氣的父親，心裡流下了悔恨的淚水。 / 醫生檢查後確定這位老人已經斷氣，家人悲痛欲絕。 / 在戰場上，他的好友不幸斷氣，他一生都無法忘懷那悲慘的瞬間。 / 斷氣前的她，緊握著女兒的手，眼神中充滿了不捨。 / 這隻流浪狗斷氣時，旁邊一直有好心人陪伴著，讓牠不再孤單。 / 值班的護士發現病人已經斷氣，迅速通知了醫生前來處理。 / 在海灘上，他聽到一位老人斷氣的消息，心中湧起無法言喻的哀傷。 / 斷氣的時候，她的心中回想起與朋友的美好回憶，淚水潸然落下。 / 這位藝術家在孤獨中斷氣，留下了無數感動人心的作品和遺憾。 / 當他得知摯友已經斷氣的消息，整個世界似乎都變得黯淡無光。 / 醫生在檢查過後，彷彿也察覺到自己即將斷氣，習以為常的冷漠瞬間變得愁苦。,vp-i,斷氣前的情況 / 斷氣之際 / 斷氣的時候 / 斷氣的瞬間 / 斷氣的過程 / 斷氣後 / 醫生判斷斷氣 / 生命即將斷氣 / 因病斷氣 / 意外斷氣,"言喻, 緊握, 潸然, 因, 友, 湧起, 氣"
4632,,端視,To look at or examine attentively.,端視的意思是以沉著、穩定的心態面對困難或挑戰，並能從容處理。,面對困難的選擇，我們都應該端視其影響，做出明智的決定。 / 當遇到挫折時，端視這些挑戰的過程，可以讓我們學到更多的經驗。 / 這個問題的解決方案端視於我們是否能有效地合作與溝通。 / 在解決衝突時，端視雙方的立場，有助於找到更合適的解決辦法。 / 他常常端視領導的壓力，以冷靜的心態應對各種挑戰。 / 這段關係的未來端視於我們能否坦誠相待，克服彼此的誤解。 / 當處理複雜的項目時，端視每個細節的影響，有助於確保最終的成功。 / 在評估這個計畫的可行性時，我們必須端視市場的變化和需求。 / 端視於我們如何理解這些文化差異，才能更好地進行國際合作。 / 當計劃新的策略時，端視過去的經驗教訓，將對我們的決策大有裨益。 / 他在競爭激烈的環境中，端視為難的挑戰，練就了強大的心理素質。,va-t,端視為難的情況 / 端視的挑戰 / 端視的問題 / 端視的選擇 / 端視為難的原因 / 端視非常難 / 端視的反應 / 端視的影響 / 端視的經驗 / 端視為難的事情,"有助, 能否, 裨益, 相待"
4633,葬送、犧牲。[例]他因吸毒而斷送美好的前途。,斷送,"To sacrifice or ruin, often used to indicate the loss of an opportunity or future.",葬送或犧牲自己的前途、機會或生命。,很多人因為酗酒而斷送了自己的幸福生活。 / 她的父母擔心她交的朋友會斷送她的前途，於是禁止她和那些人來往。 / 如果不珍惜當下的機會，就有可能斷送未來的發展。 / 他因為一次失誤，差點斷送了自己的職業生涯。 / 太過於沉迷於遊戲，會讓年輕人斷送原本美好的青春。 / 他因吸毒而斷送美好的前途。 / 許多人因為追求名利而斷送了與家人之間的真摯關係。 / 過度的焦慮與壓力，常常會讓人斷送本該有的平靜生活。  / 她因為錯誤的選擇，斷送了自己原本輝煌的藝術生涯。  / 不努力學習，就可能會斷送通向理想職業的道路。  / 他們因為輕率的決定，斷送了團隊多年來建立的信任與合作。,vp-t,斷送前途 / 斷送青春 / 斷送生命 / 斷送夢想 / 斷送幸福 / 斷送希望 / 斷送機會 / 斷送未來 / 斷送事業 / 斷送健康,"失誤, 因"
4634,詳細察看。[例]小學同學會時，我端詳了半天，還是想不起對坐的同學叫甚麼名字。,端詳,To examine or look over with care and attention.,詳細察看某物或某人。,在博物館裡，我端詳著古代的陶器，感受到歷史的厚重。 / 她端詳了一下手上的手錶，發現時間已經不準了。 / 每當作畫時，他都會仔細端詳每一個細節，力求完美。 / 深夜，他端詳著那本舊書，裡面每一頁都充滿了故事。 / 老闆端詳著新到的商品，希望能找到合適的價格和質量。 / 這幅畫作需要仔細端詳，才能欣賞到其中的細微之處和意義。 / 在藝術展覽中，我端詳著每一幅畫，企圖理解背後的創作靈感和意圖。 / 他端詳著地圖，希望能找到最快的路線到達目的地。 / 在選擇婚禮的戒指時，她細心端詳每一款，希望選出最完美的象徵。 / 聆聽音樂時，我喜歡端詳每一個音符的變化，感受作曲家的情感。 / 「認真端詳著父母的老照片，我不禁感慨時光的流逝與回憶的珍貴。」,va-t,端詳事物 / 端詳畫作 / 端詳細節 / 端詳周圍 / 端詳環境 / 端詳商品 / 端詳內容 / 端詳特徵 / 認真端詳 / 用心端詳,"物, 厚重, 舊書, 音符, 質量, 作曲"
4635,十分肯定的說。[例]在未查明案情之前，沒有人敢斷言凶手是誰。,斷言,To assert or declare firmly and confidently.,十分肯定地說，通常沒有保留。,「在沒有足夠證據之前，我們無法斷言誰是這起事故的責任人。」 / 這位專家的斷言，讓我們更加信任他對此議題的見解。 / 他在會議上斷言，市場經濟將會面臨重大變化，大家都保持著懷疑的態度。 / 專家不是單憑直覺就能斷言經濟會回暖，需要有數據來支持他的觀點。 / 語言學家斷言，母語的學習對於第二外語的學習具有很大影響。 / 在討論中，她斷言科技的進步將改變未來的工作模式，這引起了廣泛的共鳴。 / 他在研究報告中斷言，氣候變化已經達到臨界點，必須立即採取行動。 / 在這場辯論中，參賽者勇敢地斷言自己的觀點，儘管面對激烈的反對聲音。 / 經過多年的觀察，心理學家斷言，人際關係對於個體的心理健康非常重要。 / 他斷言，這種新療法將徹底改變傳統醫療方式，醫護人員們充滿期待。 / 在這次講座中，老師明確斷言學習語言的最佳時機是年幼時，讓學生們印象深刻。,vp-t,斷言的事實 / 斷言的理由 / 明確斷言 / 不容置疑的斷言 / 可信的斷言 / 積極斷言 / 似是而非的斷言 / 直率斷言 / 斷言是否 / 拒絕斷言,"療法, 臨界點, 暖, 參賽"
4636,整齊、不歪邪。[例]儀容端正、字跡端正,端正,"Neat and upright; tidy, orderly, and not distorted.",整齊而不歪斜。,在考試中，他的字跡端正，讓老師十分滿意。 / 儀容端正的學生在畢業典禮上受到校長的特別表揚。 / 她每天都會花時間練習書法，期望自己的字能夠更加端正。 / 在面試前，面試官提醒所有應徵者要保持端正的外貌和專業的形象。 / 這幅畫的構圖非常端正，讓人感受到一種平衡與和諧。 / 他在演講時，態度端正，讓聽眾對他的話充滿信心和信任。 / 學校要求學生在正式場合穿著端正的服裝，以展現良好的形象。 / 每當她看到朋友的字寫得端正時，總忍不住想要向他請教技巧。 / 他的家裡總是整理得端正有序，讓人感到非常舒適和放鬆。 / 講座快要開始時，主持人在台上提醒大家保持端正的坐姿，以示對講者的尊重。 / 小孩子們在學習畫畫時，老師鼓勵他們把圖形畫得端正，這樣會更具美感。 / 參加比賽的選手們需要注意自己的儀容端正，以展現對比賽的重視。,vs-i,儀容端正 / 字跡端正 / 形象端正 / 態度端正 / 品德端正 / 行為端正 / 裝束端正 / 學風端正 / 言語端正 / 生活端正,"構圖, 示, 忍不住, 試官"
4636,使不歪邪。[例]法院對這次賄選案的判決，有助於端正選舉風氣。,端正,To rectify or correct something that is biased or unjust.,使行為、風氣或事物不歪斜，回歸正確、正當的狀態。,政府推動新政策的目的是希望能夠端正市場競爭的環境。 / 學校舉辦道德講座，旨在端正學生的價值觀和行為準則。 / 媒體在報導事件時應該遵循事實，這樣有助於端正公眾的認知。 / 經常檢討自己的行為，能讓我們更容易端正自己的態度，提升自我。 / 在社會運動中，強調理性和平和的表達方式能夠端正運動的方向與目標。 / 企業透過培訓提升員工的專業素養，期望能端正公司的形象，提高客戶信任。 / 父母應該以身作則，這樣才能端正孩子的價值觀，讓他們在成長過程中學會負責任。 / 在學術界，提升研究的透明度是端正學術風氣的重要一步，以維護學術的真實性。 / 政府加強對環境保護的監管，有助於端正企業的環保責任，促進可持續發展。 / 社區舉辦志願活動，希望藉此端正居民的互助精神，增強社區的凝聚力。 / 定期舉行職業道德培訓，能有效端正員工的職業道德，營造良好的工作環境。,vp-t,端正態度 / 端正道德 / 端正言行 / 端正風氣 / 端正價值觀 / 端正行為 / 端正名聲 / 端正形象 / 端正紀律 / 端正精神,"負責任, 旨, 增強, 歪斜, 監管, 有助"
4637,端正莊重。[例]在公婆眼裡，她是一個賢慧端莊的好媳婦。,端莊,Dignified and composed; having a serious and respectful demeanor.,端正而且莊重，給人穩重的感覺。,她在晚宴上穿著傳統服飾，舉止端莊，讓人留下深刻的印象。 / 在婚禮上，新娘的媽媽端莊地坐在主桌旁，微笑接受親友的祝福。 / 每次參加會議，他總是端莊地發言，讓大家對他的專業性倍感敬佩。 / 學校的畢業典禮上，曾經的校長端莊地回顧了校史，學生們聽得津津有味。 / 她的畫作雖然簡單，但展現出一種端莊的美感，令人讚歎不已。 / 端莊的風範讓她在各種場合都能引起人們的注意。 / 在藝術展覽上，她端莊地介紹作品，讓來賓感受到深厚的文化底蘊。 / 每當交流會議開始，他以端莊自信的姿態，吸引了眾人的目光。 / 這位端莊的老師總是耐心地解答學生的疑問，深受大家的喜愛。 / 參加家族聚會時，她的端莊舉止讓年輕人都感到欽佩和尊重。 / 端莊而優雅的她，總能在繁忙的工作中找到平靜與和諧。,vs-adj,端莊的女子 / 端莊的風範 / 端莊的儀態 / 端莊的形象 / 端莊的神情 / 端莊的舉止 / 端莊的態度 / 氣質端莊 / 端莊大方 / 端莊而優雅,"主, 底蘊, 深受, 校"
4638,層層堆積。[例]桌上堆疊著很多書，只留下一方小小的書寫空間。,堆疊,To stack or accumulate in layers.,層層堆積在一起。,孩子們在遊樂場裡堆疊積木，創造出各種不同的形狀。 / 老師教學生如何堆疊書本，讓書架看起來整齊有序。 / 在派對上，食物一層層堆疊在盤子上，讓人垂涎欲滴。 / 當我清理房間時，發現角落裡堆疊著一堆舊玩具。 / 農場裡，農夫將收穫的水果堆疊在一起，準備運往市場。 / 一堆書堆疊在桌子上，幾乎遮住了我的電腦螢幕。 / 在藝術課上，學生們用顏料堆疊出色彩繽紛的畫作，表達他們的創意。 / 在冬天，雪花一層層堆疊在樹枝上，形成了美麗的雪景。 / 餐廳的甜點櫃子裡，蛋糕和甜點精緻地堆疊在一起，吸引著顧客的目光。 / 在健身房，運動器材亂七八糟地堆疊著，讓人感到無法找到合適的運動空間。 / 物品堆疊在倉庫裡，顯示出這裡的存貨量逐漸增加。,va-t,一堆書堆疊 / 文件堆疊 / 物品堆疊 / 食物堆疊 / 碗盤堆疊 / 材料堆疊 / 玩具堆疊 / 數據堆疊 / 照片堆疊 / 一層層堆疊,"運往, 雪景, 碗盤, 遮住, 顏料, 存貨量"
