number,old_definition,translation,definition,example_sentences,part_of_speech,collocations
228,持、拿。[例]操刀,To hold or grasp.,持有或拿著某物。,他每天都要操練兩個小時，才能在比賽中取得好成績。 / 操場上，小朋友們歡笑著追逐，享受著快樂的童年時光。 / 他常常操心孩子的教育問題，想要給他們最好的未來。 / 在工廠裡，工人們需要學習正確的操控機器，以確保生產的安全。 / 我們必須仔細閱讀操作手冊，才能正確地使用這台新設備。 / 他每天都要操練兩個小時，才能在比賽中取得好成績。 / 操場上，小朋友們歡笑著追逐，享受著快樂的童年時光。 / 父母常常操心孩子的健康，希望他們能遠離疾病。 / 在瑜伽課上，老師指導大家正確的操姿，以避免受傷。 / 他們在音樂教室裡操練樂器，夢想有一天能在舞臺上演出。 / 我們需要定期操檢設備，以確保其正常運行和安全性。,va-t,操縱 / 操控 / 操作 / 操心 / 操刀 / 操練 / 操場 / 操刀手 / 操作的系統 / 操作手冊
228,品格、德行。[例]節操、操守、操行,Moral character or integrity; Refers to one's principles and ethical behavior.,品格和德行的具體表現。,他的節操受到許多人的敬重，因為他始終堅持自己的原則。 / 在這個物質主義盛行的時代，能堅守節操的人越來越少。 / 學校鼓勵學生們培養良好的操行，以樹立良好的榜樣。 / 即使面對巨大的誘惑，他也沒有動搖自己的節操，令人敬佩。 / 國家的公僕有責任恪守操守，以維護人民的信任。 / 雖然他的處境非常困難，但他仍然堅持保持潔身自好，沒有放棄自己的節操。 / 在職場上，保持操守和誠信是獲得同事尊重的重要因素。 / 他的言行一致，始終如一，讓人對他的操行產生高度信任。 / 對於藝術家來說，保持創作的節操能讓作品更加真摯動人。 / 在歷史上，許多名人以其高尚的節操流傳後世，成為人們崇敬的對象。 / 他們的團體以推廣道德操守為宗旨，希望能夠影響更多人堅守信念。,n,節操 / 操守 / 操行 / 道德操守 / 高尚的節操 / 品行不端 / 無可挑剔的操行 / 忠誠的操行 / 恪守操守 / 清白的操行
228,一種鍛鍊筋骨的運動。[例]體操、早操、健美操,"A type of exercise that involves physical training and skill development, such as gymnastics, morning exercises, and aerobics.",一種鍛鍊筋骨的運動。,學校每天早上安排學生進行早操，以提高他們的身體健康。 / 體操比賽中，運動員們展現了驚人的力量與柔韌性。 / 健美操課程不僅能幫助減肥，還能增加生活的樂趣。 / 隨著科技進步，越來越多的人選擇在家裡做瑜伽操來鍛鍊身體。 / 每到周末，社區健身房會舉辦團體健身操，吸引許多人參加。 / 參加競技體操需要長時間的訓練，這樣才能在比賽中表現出色。 / 每天早操後，學生們都感到精神焕发，準備好迎接新的一天。 / 體操訓練中，教練強調正確的動作能有效避免受傷。 / 許多老年人選擇晨操，這不僅能增強體質，還能促進社交。 / 健美操的熱身環節非常重要，可以幫助身體逐漸適應運動強度。 / 在寒假期間，學校還特別安排了體操訓練營，讓學生可以提升技巧。,va-i/N,早操 / 健美操 / 體操 / 健身操 / 競技體操 / 體操比賽 / 健美操表演 / 每天早操 / 音樂健美操 / 持續操練
234,花心思處理事情。[例]這件工作多虧他日夜操心，才能在期限內完成。,To worry or be concerned about something.,花心思去處理事情或關心某件事情。,這幾年來，父母為我的前途每天都在操心。 / 他們的婚姻出現問題，我常常為他們的事操心。 / 老闆總是操心公司的業績，幾乎沒有休息的時間。 / 為了準備年會，團隊的每個成員都不得不操心細節，確保一切順利進行。 / 除了工作，我還要操心家裡的琐事，讓我感到壓力很大。 / 她對朋友操心過度，常常影響到自己的生活。 / 忙碌了一整天後，我仍然要操心明天的行程，實在讓人疲憊。  / 鄰居為了照顧生病的寵物，總是操心得無法安心入睡。  / 雖然孩子們已經長大，但父母仍然不時為他們的生活操心。  / 社區活動的成功與否讓負責人操心不已，希望能吸引更多人參與。  / 每當考試季到來，我不僅要應對自己的壓力，還要操心朋友的復習情況。,vs-t,日夜操心 / 為他人操心 / 操心事 / 操心的事 / 過度操心 / 操心太多 / 總是操心 / 不再操心 / 操心孩子 / 操心工作
234,憂慮、不放心。[例]父母總是為兒女的學業、生活操心不已。,To worry or be anxious about something.,憂慮而不放心，常常為他人的事情擔心。,父母總是為孩子的學業操心，盡力提供他們最好的支持。 / 每次考試前，我都能感受到朋友為我操心的心情。 / 這份報告如果寫不好，會讓我的主管操心很久。 / 朋友的健康問題讓我們都非常操心，希望他能快點康復。 / 其實，很多事情不必過度操心，適當放鬆反而更有幫助。 / 最近公司業績下滑，讓主管對未來的人事安排非常操心。 / 我婆婆總是為我們的家庭開支操心，想找到更省錢的方法。 / 無論我多忙，母親都會不斷打電話提醒我別操心她的事。 / 朋友買了新車，但卻因保養問題感到特別操心。 / 我在國外工作，常常讓家裡的人操心我的生活安危。 / 與其每天為小事操心，不如學會把精力集中在重要的事情上。,vs-t,父母的操心 / 為孩子操心 / 不用操心 / 令人操心的事情 / 不值得操心 / 常常操心 / 生活中的操心 / 為工作操心 / 不必操心 / 面對操心
232,操縱控制。[例]這種玩具車是用無線電來操控的。,To manipulate or control something in a deliberate manner.,操縱和控制某事物，通常透過某種工具或手段進行。,這台無人機的操控系統非常先進，操作簡便易學。 / 在高空拍攝時，攝影師需要精準地操控無人機，以避免碰撞。 / 老師教學生如何操控虛擬實境中的角色，讓遊戲變得更加有趣。 / 為了提高遊戲的沉浸感，開發者設計了專門的操控界面。 / 新推出的電競設備，讓玩家在比賽中能更加精細地操控角色動作。 / 操控這款新型智能機器人需要一定的技術，以便達到最佳效果。 / 學習如何操控飛行模擬器對未來成為飛行員非常重要。 / 透過移動應用，我們可以輕鬆操控家中的智能設備。 / 為了提升使用者體驗，這款軟體的操控流程被大幅簡化。 / 在實驗室中，研究人員須謹慎操控各種儀器，以確保數據的準確性。 / 遊戲設計師花了很多時間優化操控方法，讓玩家感到更加流暢和自然。,va-t,操控設備 / 操控權限 / 操控方法 / 操控技術 / 操控系統 / 操控能力 / 操控流程 / 操控遊戲 / 操控人員 / 操控界面
236,掌控管理機器。[例]這部新機器，操縱起來還不是很順手。,To operate or control a machine.,掌控和管理機器或工具，使其運作。,這台飛機的操縱桿設計得很人性化，即使是新手也能比較容易上手操縱。 / 她擅長操縱各種樂器，讓每場表演都充滿了動感與活力。 / 在航海訓練中，學員們必須熟悉操縱帆船的技巧，才能安全駕駛出海。 / 操縱這台新型機器需要相當的專業知識，否則容易造成設備損壞。 / 他平時喜歡玩模擬飛行遊戲，這讓他對實際操縱飛機產生了濃厚的興趣。 / 在機房裡，技術人員必須精確操縱設備，確保網路系統的穩定運行。 / 為了更好地操縱這款高端攝影機，攝影師參加了專業的培訓課程。 / 在汽車駕駛考試中，考生必須展示自己對操縱車輛的熟練程度，以通過測試。 / 他曾在國外學習飛行，對於操縱直升機的經驗讓他在業界頗受矚目。 / 這款遊戲要求玩家精確操縱角色，以完成各種挑戰和任務。 / 在工廠裡，工人們需要經過嚴格的訓練，才能安全且高效地操縱生產線的機器。,va-t,操縱[機器] / 操縱[設備] / 精確操縱[機器] / 擅長操縱[機器] / 操縱[控制] / 操縱[系統] / 操縱[技術] / 使用[操縱]器 / 難以操縱[機器] / 錯誤操縱[情況]
236,控制、指揮。[例]做人要有主見，不能隨便受人操縱。,To manipulate or control something or someone.,控制和指揮他人或事物。,政治人物有時會利用媒體來操縱民眾的情緒。 / 在這段電影中，主角發現自己被某個組織操縱，無法控制自己的行為。 / 社交媒體上出現了一些假消息，意圖操縱市場的投資方向。 / 老師強調，學生應該有自己的判斷，不要輕易被同儕操縱。 / 有些廣告商試圖操縱消費者的需求，以提高產品的銷售量。 / 操縱市場的行為是不合法的，違者將面臨嚴厲的處罰。 / 在心理學課堂上，教授介紹了如何通過語言操縱人際關係。 / 某些政黨利用社會焦慮來操縱選民，獲得更多的支持。 / 在歷史上，許多獨裁者都曾操縱國家機器以維持自己的權力。 / 了解操縱的心理學原理，可以幫助我們更好地保護自己。 / 不要讓他人操縱你的思維，你應該獨立思考，做出自己的決定。,va-t,操縱人心 / 操縱局勢 / 操縱市場 / 被操縱的 / 操縱權力 / 操縱情感 / 操縱行為 / 暗中操縱 / 操縱大眾 / 無法操縱
218,殘忍暴戾。[例]南京大屠殺，日軍殘暴的行為，令世人髮指。,Cruel and violent; characterized by extreme brutality and brutality.,殘忍而且暴戾。,在這場戰爭中，殘暴的侵略者毫不留情地攻擊無辜的平民。 / 許多國際人權組織揭露了該國政府的殘暴行徑，呼籲全球譴責。 / 他的故事中描述了那些殘暴的統治者如何壓迫人民、摧殘他們的尊嚴。 / 在歷史的長河中，有不少殘暴的事件讓人們對戰爭產生了深深的恐懼。 / 反人類的殘暴行為必須受到制裁，以維護世界的和平與正義。 / 殘暴的獨裁者經常使用恐怖手段來維持其統治，讓人民生活在恐懼之中。 / 在電影中，殘暴的怪物摧毀了一切，象徵著無法控制的怒火與破壞。 / 許多目擊者勇敢地站出來，講述那些殘暴的虐待事件，促進了對人權的關注。 / 學者們對歷史上殘暴的戰爭進行研究，希望能從中汲取教訓，避免重蹈覆轍。 / 這部紀錄片揭示了眾多殘暴的事件背後，所隱藏的人性掙扎與道德困境。 / 每當回想起那些殘暴的報復行動，讓人不禁對人性產生深深的懷疑。,vs-adj,反人類的殘暴行為 / 殘暴的侵略者 / 殘暴的行徑 / 殘暴的手段 / 殘暴的戰爭 / 殘暴的虐待 / 殘暴的報復 / 殘暴的統治 / 殘暴的事件 / 殘暴的獨裁
221,剩餘、殘餘。[例]蔬果應澈底做好清潔工作，以避免農藥殘留。,To remain or be left over; to be residual.,剩下來的物質或部分。,為了保障飲用水的安全，相關單位定期檢測水中是否有化學物質殘留。 / 在使用清潔劑後，應充分沖洗餐具，以免造成有害物質殘留。 / 這些農作物需要等待一段時間，以便農藥殘留減少到安全標準以下。 / 有些食物在烹煮過程中會產生對人體無害的營養殘留，這樣反而增加了其健康價值。 / 在進行環境清理時，必須特別注意廢棄物的殘留，以防止對生態造成長期影響。 / 在這個展覽中，藝術家利用舊材料創作，展現了城市殘留的歷史記憶。  / 聽完這堂課後，學生們的心中仍殘留著對知識的渴望，期待未來能學到更多。  / 當我們走進這片森林時，能感受到時間在此殘留的氣息，彷彿回到了過去。  / 這部電影結尾留下的懸念，讓觀眾心中殘留著不斷思考的衝動。  / 透過這次志願服務，許多參與者心中殘留著對幫助他人的成就感。  / 在這次的音樂會上，觀眾們對演出的熱情依然殘留，直到活動結束後才慢慢散去。,n/v,農藥殘留 / 食物殘留 / 污染物殘留 / 化學物質殘留 / 廢棄物殘留 / 時間殘留 / 污垢殘留 / 效果殘留 / 微生物殘留 / 臭味殘留
222,殘缺破爛、不完整。[例]這棟房屋年久失修，早已殘破不堪。,"Damaged and incomplete; refers to something that is broken, shattered, or in a state of disrepair.",指物體或事物因損壞而不完整，通常形狀或功能都受到影響。,這幅畫經過多年的風吹日曬，顏色變得十分殘破，幾乎要看不清原本的樣子。 / 這座廟宇歷經戰亂，現在的牆壁已經殘破不堪，但依舊吸引了許多遊客前來參觀。 / 這本書的頁面已經殘破，讀起來時常需要忍耐。 / 老街的殘破磚路，見證了這個城市曾經的繁華。 / 他的夢想在現實的打擊下漸漸殘破，但他仍不放棄。 / 這部電影的情節雖然殘破，但演員的表現仍然非常出色。 / 隨著時間的流逝，那棟曾經壯觀的 mansion 現在已經變得殘破不堪。  / 這份檔案因為長期保存不當，許多部分已經殘破，無法完整呈現當年的歷史。  / 他們的友誼在誤解和爭吵中漸漸殘破，最終無法再回到從前。  / 這個故事雖然結局殘破，但它帶給我的感動卻是無法磨滅的。  / 這座殘破的雕像，依然向人們訴說著古老文明的輝煌歷史。,vs-i,殘破的建築 / 殘破的房屋 / 殘破的物品 / 修復殘破的作品 / 重建殘破的家園 / 殘破的夢想 / 殘破的生活 / 殘破的回憶 / 殘破的心靈 / 漸漸殘破
224,指先天或後天所造成肢體、器官的缺陷或功能的障礙。,A physical or functional disability resulting from congenital or acquired defects.,指先天或後天所造成的肢體或器官缺陷，或者功能障礙。,社會應該為殘障人士提供更多的就業機會。 / 政府推出了新政策，幫助殘障人士獲得職場培訓。 / 在學校中，老師要給予殘障學生更多的關注與支持。 / 殘障人士參加運動會，可以提高大家對他們的理解和包容。 / 這個網站專門設計，讓殘障人士也能方便地使用電腦。 / 有些公司正在努力打造無障礙的工作環境，以便吸引更多殘障員工。 / 公共交通系統應該改善服務，以便殘障人士可以更加輕鬆地出行。 / 社區中心定期舉辦活動，讓殘障人士能夠彼此交流與互助。 / 透過藝術療法，許多殘障人士找到了自我表達的方式。 / 在國際殘障日，許多團體會發起倡議，提高大眾對殘障權益的認識。 / 醫療機構應當提供專業的康復服務，幫助殘障人士恢復生活自理能力。,n,殘障人士 / 殘障權益 / 殘障補助 / 照顧殘障 / 幫助殘障 / 智力殘障 / 身體殘障 / 平等對待殘障 / 先天殘障 / 確實解決殘障
239,使用儀器或量具以測定速度、長度等數值，或有關地形、地物之高下、大小等狀態。[例]任何建築物的規劃設計，都必須先經過精密的測量，絲毫馬虎不得。,To measure or assess using instruments or tools.,使用工具或量具來測定速度、長度等數值，或了解地形、地物的高低、大小等狀態。,在進行科學實驗時，學生必須準確測量每一種化學品的用量。 / 建築工程師經常使用激光測量儀來確保每個角度都精確無誤。 / 使用傳統的尺子進行測量，可能無法達到電子儀器的準確度。 / 測量房間的面積時，記得把所有的家具移開，以獲得正確的數據。 / 環保專家測量水體的污染程度，以評估清理工作的效果。 / 在地理課程中，老師教學生如何測量地圖上的距離和面積。 / 在體育課上，教練會測量每個學生的跑步時間，以便制定個別的訓練計畫。  / 測量風速時，氣象學家必須注意周圍環境對數據的影響。  / 醫生在診斷病情時，通常會測量病人的血壓和心率。  / 在實驗室內，科研人員使用高精度的儀器來測量材料的物理性質。  / 測量人體的體重和身高，對於了解健康狀況非常重要。,va-t/N,精密的測量 / 測量工具 / 測量數據 / 測量結果 / 測量方法 / 測量標準 / 測量單位 / 準確的測量 / 測量儀器 / 測量報告
220,形容光彩美麗。[例]他的笑容如同太陽般燦爛，十分吸引人。,Bright and beautiful; radiant.,形容光彩美麗，發出耀眼的光芒。,她的眼睛在燦爛的陽光下閃閃發光，看起來特別迷人。 / 環保活動讓孩子們了解保護地球的重要性，讓他們在濃厚的學習氛圍中綻放燦爛的笑容。 / 每當春天來臨，公園裡的花朵競相開放，為大自然增添了燦爛的色彩。 / 在夜空中，燦爛的星光彷彿在訴說著宇宙的秘密，讓人沉醉於這幅美景之中。 / 當她獲得了比賽的第一名，臉上燦爛的笑容讓所有人都感受到了她的喜悅與自豪。 / 在這個特別的日子裡，朋友們的支持讓他倍感温暖，心中充滿了燦爛的感激之情。 / 他的畫作展示了燦爛的色彩和生動的情感，讓觀者沉浸在藝術的魅力之中。 / 穆拉的日出帶來了一片燦爛的光輝，讓每一個清晨都充滿了希望與活力。 / 隨著音樂的響起，舞者們在舞台上展現出燦爛的動感，吸引了所有觀眾的目光。 / 在她的演講中，燦爛的理想和堅定的信念激勵了在場的每一個人，讓大家對未來充滿了期待。 / 當夏天來臨，海灘上的陽光燦爛照耀著每一寸沙灘，讓人心情愉悅，樂享其中。,vs-i,燦爛的笑容 / 燦爛的陽光 / 燦爛的色彩 / 燦爛的星光 / 燦爛的景色 / 燦爛的花朵 / 燦爛的心情 / 燦爛的未來 / 燦爛的回憶 / 燦爛的人生
238,計劃。[例]今年的迎新舞會將由學生會負責策劃。,To plan or devise a specific action or event.,制定計劃和安排的行為，通常針對某個特定的目標或活動。,學生會正在策劃一場年度募款活動，希望能夠籌集更多資源支持弱勢學生。 / 為了提高學生的學習動機，老師們正在策劃一系列有趣的課外活動。 / 這個暑假，志工團體計劃策劃一個針對孩童的夏令營，希望能給小朋友帶來美好的回憶。 / 農場主人正在策劃一個開放日活動，邀請市民來參觀和了解有機農業。 / 公司策劃了一個新的產品發布會，期待能吸引更多的消費者關注他們的品牌。 / 今年的迎新舞會將由學生會負責策劃，讓新生們能有一個難忘的開始。  / 社區發展委員會正在策劃一個環保宣傳活動，以提高居民對環境保護的意識。  / 這次的音樂節，由於參與人數眾多，主辦方特別策劃了多場不同風格的演出，以滿足各類觀眾的需求。  / 學校正在策劃一個國際文化交流節，讓學生們有機會與外國朋友互相學習和分享。  / 當地政府正在策劃一項城市更新計劃，希望改善居民的生活品質。  / 藝術中心這個月將舉辦一系列工作坊，旨在策劃一個屬於年輕藝術家的展覽平台。,va-t/N,策畫方案 / 策畫計劃 / 策畫項目 / 策畫內容 / 嚴謹的策畫 / 完美的策畫 / 共同策畫 / 深入策畫 / 大型策畫 / 策畫行程
230,群生於一處的草。[例]黑夜裡，草叢中的螢火蟲此起彼落的飛著。,A patch of grass; A dense growth of grass.,群生在一起的草。,夜晚的草叢中，蟲鳴聲此起彼落，增添了幾分神秘的氣氛。 / 在陽光的照射下，草叢顯得格外鮮豔，吸引了不少蝴蝶來訪。 / 小朋友們在草叢裡追逐嬉戲，享受著大自然的樂趣。 / 綠色的草叢中，隱藏著許多小動物，讓人驚喜不已。 / 每當春天來臨，草叢會長出各種美麗的花朵，讓人心情愉悅。 / 我喜歡在草叢中靜靜地坐著，感受微風輕拂的舒適。 / 草叢裡的露珠在晨光中閃爍，如同點點星辰，讓人忍不住駐足欣賞。 / 不遠處的草叢中，傳來了小鳥清脆的歌聲，讓整個森林都充滿了活力。 / 在秋天，草叢的顏色逐漸變黃，帶來一種溫暖和懷舊的感覺。 / 探險隊伍在密密的草叢中尋找珍稀的植物，期待能有豐碩的收穫。 / 草叢的芬芳混合著泥土的氣息，讓人感受到大自然的無窮魅力。,n,一片草叢 / 綠色的草叢 / 繁密的草叢 / 在草叢裡 / 躲在草叢裡 / 草叢中的昆蟲 / 夜晚的草叢 / 走進草叢 / 探索草叢 / 體驗草叢的美
233,覆蓋青草的地面。[例]公園裡一片綠油油的草坪，看起來真舒服！,A lawn; a grassy area covered with grass.,覆蓋著青草的地面。,在公園裡，孩子們快樂地在草坪上奔跑玩耍。 / 每到春天，草坪的花朵紛紛綻放，吸引了許多蜜蜂和蝴蝶。 / 綠色的草坪為戶外婚禮增添了浪漫的氛圍。 / 去年我們在草坪上舉辦了家庭聚會，大家都玩得很開心。 / 在炎熱的夏天，我喜歡躺在草坪上，享受微風的撫慰。 / 草坪的維護很重要，需要定期澆水和修剪。 / 遊客們喜歡在草坪上野餐，一邊享受美食，一邊欣賞風景。 / 這個社區的草坪經過精心打理，成為居民休閒的最佳去處。 / 每當下雨後，草坪變得濕潤，散發出一股清新的氣息。 / 我們計畫在草坪上舉辦一場戶外電影夜，期待與朋友一起享受美好的時光。  / 這片草坪上常常可以看到小狗們快樂地嬉戲，增添了生活的樂趣。,n,一片草坪 / 綠色的草坪 / 美麗的草坪 / 修剪草坪 / 草坪上 / 享受草坪 / 草坪的維護 / 庭院草坪 / 草坪上的野餐 / 草坪的陽光
229,尚在研議草擬，未經通過或發布的法律案、規章、規則、辦法、準則等。[例]這項公司法草案，只待立法院通過，就可正式公告。,"A draft; A preliminary version of a law, regulation, rule, or guideline that is still under discussion and not yet approved or enacted.",尚在研擬或草擬的法律、規章、規則、辦法或準則，尚未通過或發布。,立法院今天正式通過了稅改草案，期望明年能實施新的稅制。 / 環保署提交的空氣品質改善草案，引起了社會各界的廣泛關注。 / 許多專家參與討論這個新的醫療政策草案，力求達成最優方案。 / 本次會議的議程中，有關勞動法修正草案的討論佔據了最多時間。 / 政府公佈了最近的經濟恢復草案，預計將為企業提供更多扶持措施。 / 社會福利的改革草案引發了廣泛的公眾討論，尤其是對低收入家庭的影響。 / 新的教育改革草案已經提交給教育部，期待能改善目前的升學制度。 / 在國際貿易會議上，各國代表針對貿易協定草案進行了深入的交流與研討。 / 這份有關文化保護的草案，目前尚在收集民眾意見階段，未來有望正式推出。 / 行政院計畫在下個月提出新的財政預算草案，以應對當前的經濟挑戰。 / 總統將於明天發佈最新的外交政策草案，期待能改善與周邊國家的關係。,n,法律草案 / 初步草案 / 修正草案 / 政策草案 / 預算草案 / 改革草案 / 合約草案 / 簽署草案 / 討論草案 / 發佈草案
231,未成定稿或未謄清的文稿，也指初步完成的畫作。[例]劇本的草稿等導演看過，就可正式排演了。,A draft; an incomplete or preliminary version of a document or artwork.,未成定稿或未謄清的文稿，也指初步完成的畫作。,我只寫好了一份草稿，還不算正式的報告。 / 老師說我的作文草稿有潛力，但需要更多的修改。 / 在會議上，我展示了設計的草稿，大家給了我很多建議。／這幅畫的草稿實在太美了，我希望能夠完成一件萬中肯定的作品。 / 如果想要申請獎學金，就必須先準備好草稿和建議書。 / 在準備發表會的時候，我早早就撰寫好了草稿，避免臨時慌亂。 / 這篇文章的草稿完成後，我才發現有些地方需要重新整理。 / 我的朋友幫我檢查草稿，讓我能更有信心地提交最終版本。 / 我經常將想法寫在草稿中，然後再慢慢修改，直到滿意為止。  / 雖然這份草稿還不完美，但它展現了我對這個主題的熱情與投入。  / 在撰寫論文的過程中，草稿階段對於理清思路非常重要。,n,一份草稿 / 撰寫草稿 / 修改草稿 / 完成的草稿 / 初步草稿 / 最終草稿 / 原始草稿 / 評估草稿 / 草稿完成 / 對於草稿
235,取自植物的中藥材。[例]近年來許多科學研究，證實了草藥的療效。,Herbal medicine; Plant-derived traditional Chinese medicinal materials.,取自植物的中藥材，常用於治療各種疾病。,醫生告訴我，某些草藥可以幫助改善消化系統的功能。 / 在古代，中國的草藥常被用來製作各種藥品，治療不同的疾病。 / 學習如何辨識和使用草藥，是許多中醫課程的重要內容。 / 在某些偏遠山區的部落裡，當地居民仍然保持著使用草藥治療的傳統。 / 草藥的配方往往根據病人的體質和病情而有所不同。 / 在診所裡，醫生常常根據患者的症狀開立草藥方劑，以促進康復。 / 最近的研究顯示，某些草藥具有抗炎效果，可以幫助緩解慢性疼痛。 / 許多人選擇使用草藥保健品來增強免疫系統，預防感冒和流感。 / 草藥的使用歷史悠久，許多現代藥物的成分都來自於古老的草藥知識。 / 隨著人們對自然療法的興趣增加，草藥市場也逐漸擴大，吸引了更多的消費者。 / 中醫師常常利用草藥的特性，來調配適合病人的個人化治療方案。,n,一種草藥 / 藥用草藥 / 中國的草藥 / 知名的草藥 / 使用草藥 / 草藥療效 / 草藥種類 / 草藥配方 / 草藥研究 / 草藥市場
227,動物名。節肢動物門昆蟲綱雙翅目。體色蒼黑，頭部為黑色，有紅色複眼，胸背有縱紋四條，體側有粗硬毛，腹部為藍色，分有四個環節，多毛，腳密生粗毛，後肢特長。夏季時最多，喜紛集於腐臭物體上，會傳播疾病，造成環境汙染。　△蠅子　◎,"A fly; a common name for the housefly (Musca domestica), known for its black color and disease-spreading behavior.",一種節肢動物，屬於昆蟲綱雙翅目。體色蒼黑，頭部黑色，紅色複眼，胸背有四條縱紋，體側有粗硬毛，腹部藍色，分為四個環節，多毛，腳上密生粗毛，後肢特長。夏季最常見，喜歡聚集在腐臭物體上，會傳播疾病，造成環境污染。,在夏天，隔壁的垃圾堆總是吸引了不少蒼蠅。 / 我們需要買些驅蟲劑來消滅家裡的蒼蠅。 / 餐廳的廚房如果不乾淨，容易引來油膩的蒼蠅。 / 在戶外野餐時，蒼蠅經常圍著食物轉，令人很困擾。 / 他們在農田裡工作時，蒼蠅時不時地飛過來，影響了他們的專注力。 / 一隻蒼蠅在窗邊不停地叮嚀，讓人感到厭煩。 / 這種蒼蠅會傳播疾病，所以要特別注意環境衛生。 / 夏季的傍晚，常常能聽到周圍蒼蠅的嗡嗡聲。 / 我們在陽台上放了香草植物，希望能減少蒼蠅的出現。 / 忘了蓋好食物，結果吸引了一堆蒼蠅前來打擾。 / 他們用網子捕捉那些煩人的蒼蠅，以保持空氣清新。,n,一隻蒼蠅 / 驅趕蒼蠅 / 家裡的蒼蠅 / 餐桌上的蒼蠅 / 惱人的蒼蠅 / 黑色的蒼蠅 / 在食物上的蒼蠅 / 吸引蒼蠅 / 駆除蒼蠅 / 同蒼蠅作戰
217,擁有大批財產的人。[例]他擁有大片土地，是當地數一數二的財主。,A wealthy person; a landowner or capitalist.,擁有大量財產的人。,在那個小村莊裡，大家都知道這位老財主的名字。 / 財主的兒子常常炫耀他的父親擁有的巨額財產。 / 對於貧窮的家庭來說，財主的慈善捐款是一線希望。 / 據說，這位財主的豪宅裡收藏了大量的藝術品。 / 雖然財主的生活富裕，但他們常常面臨社會責任的壓力。 / 財主和窮人之間的差距讓人感到非常無奈。 / 每當村子裡舉行慶祝活動時，財主總是慷慨地贊助。 / 財主的家族在這片土地上已經居住了好幾代人。 / 對於年輕人來說，財主的企業提供了許多就業機會。 / 這位財主的慷慨解囊，讓許多孩子得以完成學業。 / 在村裡，財主的話語權讓很多人不得不謹慎小心。,n,一位財主 / 財主的地位 / 財主與窮人 / 幫助財主 / 財主的財產 / 財主的生活 / 有錢的財主 / 財主的權力 / 財主的家族 / 為財主工作
215,政府有關錢財方面的事務。[例]由於全世界經濟不景氣，政府的財政也陷入窘境。,Government financial affairs or matters related to public finance.,政府管理與運用錢財的事務，包括收入和支出。,政府的財政收入大部分來自於稅收。 / 由於疫情的影響，許多國家的財政治理面臨重大挑戰。 / 政府為了促進經濟發展，調整了財政支出政策。 / 有專家指出，長期赤字會影響國家的財政健康。 / 財政部門需定期發布報告，以提高財政透明度。 / 為了應對經濟危機，政府必須重新評估與調整財政預算。 / 理性的財政政策能有效促進社會福利的提升。 / 當前的財政赤字讓許多國家感到擔憂和壓力。 / 財政改革措施的推行，旨在提升國家的競爭力。 / 財政穩定對於投資環境的改善具有重要意義。 / 政府計畫加強財政監管，以防範潛在的風險。 / 在全球經濟不景氣的背景下，各國的財政政策面臨重新審視的需求。,n,財政預算 / 財政政策 / 財政支出 / 財政收入 / 財政赤字 / 政府的財政政策 / 財政穩定 / 財政危機 / 財政改革 / 財政透明度
212,財政和經濟。[例]他是財經方面的專家，擁有卓越的見解。,Finance and economics; relating to fiscal policies and economic affairs.,財政和經濟的總稱。,他每天都看財經新聞，以瞭解最新的市場動向。 / 在學校的財經課上，老師教學生如何分析經濟數據。 / 我最近參加了一個財經研討會，學到了許多實用的投資技巧。 / 財經專家指出，今年的經濟增長可能會受到外部因素的影響。 / 這本書深入探討了財經政策對國家經濟的長期影響。 / 我朋友的父母在財經行業工作，經常和我們分享他們的經驗。 / 昨天的財經報導提到，股市可能會因為利率變動而波動。 / 這位財經分析師的觀點，讓我對投資有了新的理解和想法。 / 我在網上找到了一個關於財經管理的課程，打算報名參加。 / 財經界的專家們正密切關注國際局勢，評估其可能帶來的風險和機會。 / 地方政府最近推出了一系列財經措施，以刺激當地經濟的發展。,n,財經新聞 / 財經報導 / 財經形勢 / 財經市場 / 財經政策 / 財經數據 / 財經趨勢 / 財經分析 / 財經發展 / 財經制度
